method,std.error,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
DOC_sww,0.055760150352157735,0.6333048719887365,0.6210817010550277,2.808281891574038,51.81183143256409,5.1997250055703374e-8,1,-77.41574855993704,160.8314971198741,165.22870482827327,236.59341547627977,30,32
DOC_NPOC,0.0066980389928208576,0.9504269393460761,0.9496523602733585,0.40188159194223894,1227.0237769419284,1.8018357930366314e-43,1,-32.46902489907163,70.93804979814325,77.50701402422253,10.336564092289807,64,66
